title,author,isbn,tags,start_date,end_date,pages,file
Quantitative Financial Risk Management,Michael B. Miller,9781119522201,finance;risk management,20260102,,,quantitative_financial_risk_management.json
Designing Data Intensive Applications,Martin Kleppmann,9781449373320,software engineering,20260102,,613,designing_data_intensive_applications.json
